date,price
2025-05-14,2676.64
2025-05-15,2603.72
2025-05-16,2542.3
2025-05-17,2544.39
2025-05-18,2475.05
2025-05-19,2465.34
2025-05-20,2526.99
2025-05-21,2524.27
2025-05-22,2558.95
2025-05-23,2657.17
2025-05-24,2519.81
2025-05-25,2529.44
2025-05-26,2546.62
2025-05-27,2562.17
2025-05-28,2662.09
2025-05-29,2676.27
2025-05-30,2633.14
2025-05-31,2524.48
2025-06-01,2532.36
2025-06-02,2538.33
2025-06-03,2609.74
2025-06-04,2595.47
2025-06-05,2610.34
2025-06-06,2421.6
2025-06-07,2481.4
2025-06-08,2526.29
2025-06-09,2508.78
2025-06-10,2685.0
2025-06-11,2808.5
2025-06-12,2776.14
2025-06-13,2653.16
2025-06-14,2577.05
2025-06-15,2534.07
2025-06-16,2547.85
2025-06-17,2561.33
2025-06-18,2514.99
2025-06-19,2521.33
2025-06-20,2522.18
2025-06-21,2405.7
2025-06-22,2270.58
2025-06-23,2227.43
2025-06-24,2423.9
2025-06-25,2446.54
2025-06-26,2417.23
2025-06-27,2415.03
2025-06-28,2423.03
2025-06-29,2437.13
2025-06-30,2502.67
2025-07-01,2488.19
2025-07-02,2405.1
2025-07-03,2574.07
2025-07-04,2590.13
2025-07-05,2509.24
2025-07-06,2517.38
2025-07-07,2571.36
2025-07-08,2543.63
2025-07-09,2615.78
2025-07-10,2772.58
2025-07-11,2948.45
2025-07-12,2958.85
2025-07-13,2942.96
2025-07-14,2974.27
2025-07-15,3012.18
2025-07-16,3133.07
2025-07-17,3368.13
2025-07-18,3481.88
2025-07-19,3547.32
2025-07-20,3594.32
2025-07-21,3758.61
2025-07-22,3765.45
2025-07-23,3746.94
2025-07-24,3630.05
2025-07-25,3708.43
2025-07-26,3723.05
2025-07-27,3742.43
2025-07-28,3864.12
2025-07-29,3786.3
2025-07-30,3788.6
2025-07-31,3807.42
2025-08-01,3696.66
2025-08-02,3483.18
2025-08-03,3397.49
2025-08-04,3497.57
2025-08-05,3715.71
2025-08-06,3612.44
2025-08-07,3684.05
2025-08-08,3911.26
2025-08-09,4012.98
2025-08-10,4265.56
2025-08-11,4253.59
2025-08-12,4228.82
2025-08-13,4606.81
2025-08-14,4763.65
2025-08-15,4554.29
2025-08-16,4430.53
2025-08-17,4426.83
